merek;type;area;rating;lat;long;coordinates;id;;;;;;;;;;;;;;
Cahaya Baru Motorcycle Repair Shop;Motorcycle;Jakarta Pusat;4,0;-6.154144723;106.8380483;{'lat':-6.154144722813198, 106.83804834494505};101;;;;;;;;;;;;;;
Ujang Jaya Motor;Motorcycle;Jakarta Pusat;4,8;-6.143904298;106.8358167;{'lat':-6.1439042980214635, 'lng':106.83581674712426};102;;;;;;;;;;;;;;
Bengkel Resmi Honda AHASS 1283 Semar Motor;Motorcycle;Jakarta Pusat;4,2;-6.145269699;106.8385633;{'lat':-6.145269699384186, 'lng':106.83856332905755};103;;;;;;;;;;;;;;
Galur Motor;Motorcycle;Jakarta Pusat;4,4;-6.158571512;106.8502593;{'lat':-6.15857151192512, 'lng':106.85025930168972};104;;;;;;;;;;;;;;
Bengkel AHASS Honda Jakarta Pusat;Motorcycle;Jakarta Pusat;4,0;-6.172304991;106.8583113;{'lat':-6.17230499075142, 'lng':106.85831129430944};105;;;;;;;;;;;;;;
Bengkel Motor Suzuki Galur;Motorcycle;Jakarta Pusat;3,7;-6.172875656;106.8544006;{'lat':-6.172875655778512, 'lng':106.85440063360247};106;;;;;;;;;;;;;;
BRS autoservice;Car;Jakarta Selatan;4,6;-6.257550708;106.7884692;{lat':-6.25703879143004, 'Ing':106.79001414729514};107;;;;;;;;;;;;;;
Parnos Jaya Motor;Motorcycle;Jakarta Selatan;4,4;-6.264376207;106.8420275;{lat':-6.264376207408441, 'lng':106.84202753893474;108;;;;;;;;;;;;;;
Technic Service Station;Car;Jakarta Selatan;4,5;-6.269836543;106.8313845;{lat':-6.26983654306258, 'Ing':106.83138453470485};109;;;;;;;;;;;;;;
Bengkel Mobilku;Car;Jakarta Selatan;4,4;-6.265570661;106.8308696;{lat':-6.2655706607156, 'Ing':106.83086955062922};110;;;;;;;;;;;;;;
Bengkel CBU;Car;Jakarta Selatan;4,9;-6.250895759;106.7783412;{lat':-6.250895759279234, 'Ing':106.77834117491398};111;;;;;;;;;;;;;;
Buanasakti Aneka Motor;Motorcycle;Jakarta Selatan;4,3;-6.251750128;106.8274337;{lat':-6.251750127997319, 'Ing':106.82743374249668};112;;;;;;;;;;;;;;
Bengkel Lili;Car;Jakarta Selatan;4,4;-6.260964634;106.7927581;{lat':-6.260964634450649, 'Ing':106.79275814587987};113;;;;;;;;;;;;;;
Bengkel Mobil BOS ;Car;Jakarta Selatan;4,5;-6.270861515;106.7623741;{lat':-6.270861515449151, 'Ing':106.76237408541714};114;;;;;;;;;;;;;;
Bengkel Spesiali BMW;Car;Jakarta Selatan;4,2;-6.262159096;106.7912132;{lat':-6.262159095815691, 'Ing':106.79121319275099};115;;;;;;;;;;;;;;
Sinar Harapan Motor;All;Jakarta Selatan;5;-6.258746342;106.8003971;{lat':-6.258746342047761, 'Ing':106.80039707735669};116;;;;;;;;;;;;;;
DC garage auto service;Car;Jakarta Selatan;5;-6.244668499;106.8013412;{lat':-6.2446684990695145,  'Ing': 106.80134121351263};117;;;;;;;;;;;;;;
Milala Autoservice;Car;Jakarta Selatan;4,4;-6.276663048;106.8183357;{lat':-6.276663047683031, 'Ing':106.81833568868973};118;;;;;;;;;;;;;;
Bengkel P1 Kemang;Car;Jakarta Selatan;5;-6.257039958;106.8147308;{lat':-6.257039957527858, 'Ing':106.8147307988719};119;;;;;;;;;;;;;;
Bengkel Motor;Car;Jakarta Selatan;5;-6.291337224;106.7991096;{lat':-6.291337224144983, 'Ing':106.79910961563068};120;;;;;;;;;;;;;;
Workshop Bumi Perkasa;Car;Jakarta Selatan;4,3;-6.276492416;106.8061477;{lat':-6.2764924155327515, 'Ing':106.8061477313311};121;;;;;;;;;;;;;;
Karunia Jaya Motor;Car;Jakarta Selatan;4,6;-6.265011693;106.7967282;{lat':-6.265011692667557, 'Ing':106.79672815622303};122;;;;;;;;;;;;;;
Bengkel ASA Motor;Car;Jakarta Selatan;5;-6.27081329;106.8190441;{lat':-6.27081329033514, 'Ing':106.81904413283408};123;;;;;;;;;;;;;;
